Relative GIT Repository,Layer subdirectory in repository,Tag/Branch to checkout in develop MSC-LDK branch
meta-processor-sdk,,dunfell-08.06.00.007
meta-arago,meta-arago-distro,dunfell-08.06.00.007
meta-arago,meta-arago-extras,dunfell-08.06.00.007
meta-qt5,,dunfell-08.06.00.007
meta-virtualization,,dunfell-08.06.00.007
meta-ti,,dunfell-08.06.00.007
meta-openembedded,meta-networking,dunfell-08.06.00.007
meta-openembedded,meta-python,dunfell-08.06.00.007
meta-openembedded,meta-oe,dunfell-08.06.00.007
meta-openembedded,meta-gnome,dunfell-08.06.00.007
meta-openembedded,meta-webserver,dunfell-08.06.00.007
meta-openembedded,meta-multimedia,dunfell-08.06.00.007
meta-openembedded,meta-filesystems,dunfell-08.06.00.007
meta-openembedded,meta-perl,dunfell-08.06.00.007
yocto,meta,dunfell-08.06.00.007
meta-arm,meta-arm,dunfell-08.06.00.007
meta-arm,meta-arm-toolchain,dunfell-08.06.00.007
meta-sysrepo,,dunfell-08.06.00.007
meta-jupyter,,dunfell-08.06.00.007
